questions,category
"I'm 26 and get constant, multiple times a day hot flashes. I sweat very easily and have had a major appetite decrease. High anxiety, poor sleep.",Specific Health Conditions and Diseases
I'm 42 female with lower back pain what could it be?,Specific Health Conditions and Diseases
I'm a female age 29. Have pain by my belly button on and off. More recently have problem having a bum but only when pain is present. Possible hernia?,Specific Health Conditions and Diseases
"I'm stressed about being pregnant and my period started getting light and short, could my stress cause this?",Lifestyle and Health
I often get cysts in my neck. How can I make them stop.,Specific Health Conditions and Diseases
I quit smoking. How many years until my lungs are clean?,Lifestyle and Health
Is a fast heartbeat normal after taking methylprednisolone?,Medication Information
Is a two day period with light cramps normal? I usually have it for 3-4 days with very bad cramps. Could i be pregnant?,Specific Health Conditions and Diseases
Is cirrhosis of the liver cancer?,Specific Health Conditions and Diseases
Is hydroderm for jock itch?,Medication Information
Is it possible for a teenager to have really bad stomach acid? It's gotten worse and I usually avoid trigger foods  but lately even antacids won'thelp,Specific Health Conditions and Diseases
Is it possible for common antacids to neutralize the acid that plaque produces and causes cavities?,Medication Information
Is it possible to cure cataract without a lens implant but with corrective lenses?,Treatment Details
Is there a way to lose my lower belly fat and see abs?,Lifestyle and Health
Is vaginal itching normal during ovulation?,General Health Information
Itopride hydrocloride is this a helpgul medication?,Medication Information
It's only three it doesn't hurt I might of thought I had touch something it's kind of pink I'm not sure it's freaking me out?,Specific Health Conditions and Diseases
I've had a bilateral neck dissection for thyroid cancer in 2011. My neck has been swollen for 3 years. Should I see a lymph node specialist?,Treatment Details
"I've had swellings that have reoccurred on my labia majora thrice or so, but now I have a reddish roundish little sore. I'm not sexually active at all.",Specific Health Conditions and Diseases
"I wear a nightly mouthguard currently, but i was wondering if any damage from bruxism is reversible over time (does enamel heal)?",Treatment Details
I workout pretty hard and recently my knee has been clicking when I walk down stairs or try to do any leg exercises. No pain. What could this be?,Specific Health Conditions and Diseases
Just received news I have on old compression fracture causing me pain now what can I do to alleviate pain because my doc said nothing they can do?,Specific Health Conditions and Diseases
Lately I have been getting these weird bumps behind my ears and inside my ears. Does this mean anything medically?,Specific Health Conditions and Diseases
Legs feel like something is crawling on them but there's nothing. What is this weird feeling?,Specific Health Conditions and Diseases
Light headed high fever headaches and body aches. Fever is 103 what could this be and what should he take?,Specific Health Conditions and Diseases
"My 5m old has fever, runny nose, cough, and diarrhea. Should I bring her in?",Specific Health Conditions and Diseases
"My beard is growing back in, and it's itchy with red bumps. Besides conditioner, is there anything I can do for the itchiness and red bumps?",Treatment Details
My dad has a lump on his bicep just slightly after the crease of his forearm. Its no longer as bruise and it never cause him pain but the lump remains?,Specific Health Conditions and Diseases
My friend is also on nuva ring. What happens if she washed her ring with really hot water cuz she's stressing out about it.?,Medication Information
My jaw makes a popping noise when I chew. Is this serious?,Specific Health Conditions and Diseases
My lower back is making me feel painful all the time. Is there a way to cure this. Will playing badminton and going for diving make it worst?,Lifestyle and Health
My period is a week early and heavier then usual what could that mean?,Specific Health Conditions and Diseases
My red blood cells stay around 5.6-5.9 all the time. Hemaglobin always between 16.9-18.0 and hematocrit always between 50-55%. Is this dangerous?,General Health Information
"My stomach is always making rumbling noises, whether or not I have just eaten. I never have much gas though. Noises are very loud. What is this?",Specific Health Conditions and Diseases
Okay so i'm on bc and I have had sex (it hurts) i'm bleeding brown and my vagina hurts almost itchy but it hurts?,Specific Health Conditions and Diseases
Periodic numbness in left arm that comes with short chest pains and me gasping for air. All conditions come and go. What's going on?,Specific Health Conditions and Diseases
Period over 4 days ago. But Period alike (like) tingle and bit of cramps now.  Nothing major. Is this Bcoz of HPV I have? Does it cause pain? CIN1 too,Specific Health Conditions and Diseases
Please help me with fibromyalgia ptsd bipolar and high anxiety?,Specific Health Conditions and Diseases
Pushups - should hr or BP drop first? for me the hr drops quick but neck still pulsating very hard so is that dangerous to have low hr and high bp?,Lifestyle and Health
Side effect of prolixin (fluphenazine)?,Medication Information
Tuborous sclerosis. Which insurance covers laser treatment for angiofibromas? Best treatments for angiofibromas? Laser treatment is ineffective.,Specific Health Conditions and Diseases
What are the contra-indications of lasik?,Treatment Details
What are the main signs of staph infection?,Specific Health Conditions and Diseases
What can cause cancer underneath the eye?,Specific Health Conditions and Diseases
What can I do for a dislocated jaw?,Treatment Details
What causes kidney stones ?  Is it in the genes or diet,Specific Health Conditions and Diseases
What does it mean to have low ts4?,Diagnosis Explanation
What does it mean when everything smells and taste the same,Specific Health Conditions and Diseases
What if I strained my hamstring but I can still walk? Something definitely popped in my hamstring but I can still walk im a hockey player,Specific Health Conditions and Diseases
What is a good site for answers to dental problem? Ada or is that just party line?,General Health Information
What is it if you get spots on your legs that look like liver spots but they're black?,Specific Health Conditions and Diseases
What is the cause of back pain? Lower Right side to the middle. Really bothering. Nothing changes in life style. Have lower abdominal discomfort too,Specific Health Conditions and Diseases
What is the definition or description of: Lyme disease vaccine?,Medication Information
What is the normal body temperature for a male?,General Health Information
What is the use of the drug lovenox (enoxaparin)?,Medication Information
What should I consider before getting an intrauterine device?,Treatment Details
What to do if I have stones in both of my kidneys one is a 7mm. If I just leave the stones alone will they?,Treatment Details
What to do if I'm beginning to have the 'turkey neck' problem. Do you know of any flex exercises that might help me?,Lifestyle and Health
What virus causes swelling of the brain?,Specific Health Conditions and Diseases
When I watch my girlfriend bad words/insults come to my mind and I have to replace them with good ones. There is often words in my mind.Can it be OCD?,Specific Health Conditions and Diseases
When should I see a doctor for my toddler's fever? It's been around 103 all day and has peaked at 103.7. No other symptoms.,General Health Information
When should someone think about having an arthroscopy of the knee?,Treatment Details
"When you lose weight, when does it plateau?",Lifestyle and Health
Which are the top machines and work outs for cellulite on the butt and thighs?,Treatment Details
Why am I having collapsed lung after heart surgery?,Specific Health Conditions and Diseases
Why are my lips always peeling?  What should I use as a good moisturizer?  Vaseline and  carmax does not work (of course).,Specific Health Conditions and Diseases
"Why do my ears ""pop"" when I am weight lifting?",Lifestyle and Health
"Would you test for leukemia with chronic 15 WBC, low hematocrit, early satiety, fatigue and muscle weakness and malaise¿ Neg for ""usual suspects""?",Diagnosis Explanation
About 8 weeks pregnant had vaginal bleeding like small period yesterday for 1 hour then was only light brown spotting passed blood clot. Feel fine. Miscary?,Specific Health Conditions and Diseases
After a hysterectomy do you start menopause imediately?,Treatment Details
After car accident my leg and foot are numb and I have pain in my knee. Is it serious?,Specific Health Conditions and Diseases
"After septorhinoplasty, (Im almost 4 weeks post op) how do you know if a residual dorsal hump is swelling or otherwise? Does the Dr. Really even know",Treatment Details
Any tips on how to get my hair to stop falling out and start growing from stress? I had a large test I took at beginning of June stress from that,Lifestyle and Health
A patient with COPD was receiving 12.5mcg of fentanyl. The gp double this dose to 25mcg. The patient died two weeks later. Is there any correlation?,Diagnosis Explanation
Are braces considered a cosmetic?,Treatment Details
Are food intolerances like msg and onion permanent?,Specific Health Conditions and Diseases
Are surgical steel and surgical grade actually same thing?,Medication Information
Are there any quick home remedies for slight belly ache and headache?,Lifestyle and Health
Are there any side effects I should worry about if I have my 9 year old son use Milk of Magnesia (magnesium hydroxide) as a deodorant?,Medication Information
"Blocked ears, runny nose and dry throat symptoms of hayfever or common cold?",Specific Health Conditions and Diseases
"Blood in urine, pain in flank. No burning, frequency. Bladder polyps or kidney stones?",Specific Health Conditions and Diseases
Can contact dermatitis cause cutting of the vagina?,Specific Health Conditions and Diseases
"Can dental sealants be safely removed if there is decay under them without the use of a drill? If so, how will it be done?",Treatment Details
Can eating fast really make one fat?,Lifestyle and Health
Can ibs calm down at night then kick in in the day?,Specific Health Conditions and Diseases
Can tuberculosis cause microscopic hematuria? I have cough for more than 3 weeks and microscopic hematuria,Specific Health Conditions and Diseases
"Could you tell me if my thumb is blue, swollen and I can't move it dose that mean its cracked?",Specific Health Conditions and Diseases
Could you tell me what are melanocytic lesions?,Specific Health Conditions and Diseases
"Day 2 with tender,bloated,bruised feeling,hurts when I stand,move around,laugh or sit. lower abdominal/pelvic area. no uterus taken out 1yr ago.",Specific Health Conditions and Diseases
Diverticulitis cause lower backache?,Specific Health Conditions and Diseases
Does anyone know about hCG levels associated with a partial molar pregnancy?,Specific Health Conditions and Diseases
Does drooping of the mouth come on quickly or slowly?,Specific Health Conditions and Diseases
Does lung cancer always effect oxygen levels.,Specific Health Conditions and Diseases
Does time matter during ovulation ?,General Health Information
Do you have to take antibiotics prior to gyn exam if you had tkr. I know you do this before dental exam. Wondering?,Preventive Medicine
"Feeling down, tired of life, distressed, some sleep disturbances during working days, some weight gain and have rare suicidal ideation. Am I depressed?",Diagnosis Explanation
"Frequent unbearable leg cramps, what is the fastest way to relieve pain?",Treatment Details
Had pruritus for 2 weeks. Went away but now I have abdominal and right flank pain. Could it be gallstones?,Specific Health Conditions and Diseases
"Heavy clotty period for 2 days then 3 days later I started bleeding again after sex. I have been feeling pressure in abdomen, I also had a fever ?",Specific Health Conditions and Diseases
"Hello doctor, i feel numbness and diziness in my haed and neck pain, pls help me ?",Specific Health Conditions and Diseases
Hello sir! I hav a skin Color pimples in my vagina lips! Is dat any problem? I'm really scared!,Specific Health Conditions and Diseases
"How accurate are the doctors measurements of the baby to determine baby weeks, due date, conception, ovulation etc...",Diagnosis Explanation
How bad is olive oil in your diet?,Lifestyle and Health
How does a boil look tender?,Specific Health Conditions and Diseases
How does mitral stenosis affect the heart?,Specific Health Conditions and Diseases
"How does qcarbo16 work, I see people using it to pass drug test, well that's not why I brought it, I need to cleanse my body, how does it work, thanks?",Medication Information
How is your basal metabolic rate impacted by your basal energy expenditure?,Lifestyle and Health
How long does bleeding last after mirena (levonorgestrel) removal my af is not till the 16 of april I have always been regular,Treatment Details
How long does the pain for a root extraction last?,Treatment Details
How much do tummy tucks (witch hazel) usually hurt?,Treatment Details
How to know if you miscarried without passing fetus?,Specific Health Conditions and Diseases
How would you measure how severe pectus excavatum is?,Diagnosis Explanation
I am 42 I have only had my period 4 times in the last year. I get pain in my stomach but nothing happens. Any ideas why this could be occurring?,Specific Health Conditions and Diseases
"I am experiencing  headache (better by: rest, nsaids (ibuprofen, naproxen, etc.)) (time frame: gradual onset) (side: left, right) (occurred: < 1 hr...",Specific Health Conditions and Diseases
I am having moderate to severe abdominal pain on my right side. Every time i poop Iit hurts really bad like a Charlie horse in my side.,Specific Health Conditions and Diseases
I bent over while sitting in a chair to pick up something and felt like something popped and I am now having pain on my left side around my ribs?,Specific Health Conditions and Diseases
I didn't get my period for a month and now having pink discharge and a negative pregnancy test and still no period. What is going on?,Specific Health Conditions and Diseases
"If I am allergic to normal earrings, can I put a coating of clear nail polish on the earring, or is that bad? I've read this on a few websites.",Specific Health Conditions and Diseases
If you had a CBC two years ago and you still have the same symptoms is it good to get a new one?,Diagnosis Explanation
"I had a cold about a week and a half ago. Now I'm having very strong headaches and a pain on my left nasal, feels like the bone hurts on my left nasal?",Specific Health Conditions and Diseases
"I had a hysterectomy and removal of my tubes and ovaries. However, two years later, I had a very painful area in my pelvis and was told that I had endometriosis. Is this possible?",Diagnosis Explanation
I had unprotected sex on 6feb n my period was on 17feb. Had done 3 times test 2day morning also but all came negative? Doc. Given me cyclenorm e n p,Specific Health Conditions and Diseases
I have a brain cyst 3cm in left frontal lobe would it hurt if I was also pregnant?,Specific Health Conditions and Diseases
I have ADHD is it possible for me to become a surgeon ? Be honest with me please,Specific Health Conditions and Diseases
I have a small lump at the bottom of my right ear. Any idea what it could be? Thanks.,Specific Health Conditions and Diseases
I have endometriosis and just had a miscarriage now the pain seems to be back stronger than before is this because of miscarriage?,Specific Health Conditions and Diseases
I have had some pregnancy symptoms and I was four days late and had some brown discharge around the time of period and 2 nurses said they think I am?,Diagnosis Explanation
"I have hypermobile joints and am experiencing right arm, elbow, shoulder and muscle pain. What can I do?",Specific Health Conditions and Diseases
"I have lots of dry gangrene on right foot, lost 4 toes , but it doesn't go past the mid-foot. Why would they amputate to knee? Why not just that part?",Diagnosis Explanation
I have mosquito bites all over my body from head to toe. I am itching all over. The bites are swollen and combined with other bites. What can I do?,Specific Health Conditions and Diseases
I have no voice a huge knot on the right side of my neck and I have excruciating pain in throat. I was diagnosed with pharyngitis how can I get relief?,Treatment Details
I have pain on the left side of my neck when swallowing. Been going on for 3 days.,Specific Health Conditions and Diseases
I have this patch of peeling/blistering skin on the bottom of my foot. What is it and how do I get rid of it?,Specific Health Conditions and Diseases
"I have this weird taste in my mouth, but no other symptoms of dry socket. What could be wrong?",Specific Health Conditions and Diseases
I having a flexible sigmoidoscopy and I have fleet ready to use when do I use it before going in to hospital ?,Treatment Details
I'm 5' 8'' and 109 lbs. When I lay down I can see my belly pulsing to the left of my belly button. Is this something I should be concerned about?,Specific Health Conditions and Diseases
"Im in a lot of localized pain, I was diagnosed with an enlarged uterus, a bicornuate uterus, and some ovarian cysts.Pain is extreme. ER? or primary?",Specific Health Conditions and Diseases
I'm starting to think I have a fracture of the talar dome. Any advice?,Diagnosis Explanation
In an attempt to diagnose illness I have had 7 CT scans in 2 years . Because of new upper abdominal right side pain dr ordered hyda scan. Should i be concerned about  the radiation?,Treatment Details
In the middle of my chest under my breast bone it fells wierd I cant explain it?,Specific Health Conditions and Diseases
Irregular periods been taking fertility pills. 23days late and having symptoms of pregnancy but negative test what should I do?,Specific Health Conditions and Diseases
Is it normal to have bleeding after a colonoscopy that's not related to a bowel movement?,Treatment Details
Is it possible for a sciatica pain to be in the top of my thighs?,Specific Health Conditions and Diseases
Is it possible to drink antidepressants for the whole life and to be in good health?,Medication Information
Is it possible to have anxiety symptoms 24/7 for 2 years straight?,Specific Health Conditions and Diseases
Is memory loss related to statins?,Medication Information
I sneezed and got rid of some phlegm in my throat (I have post nasal drip) and it was sort of clear but then again it had white stuff too what is it?,Specific Health Conditions and Diseases
Is there any treatment for latent squint and fourth nerve palsy?,Treatment Details
Is there usually left shoulder/arm/jaw pain associated with angina pectoris?,Specific Health Conditions and Diseases
"I've been experiencing dizziness for several months now, with occasional ear pain. Does this sound like a brain tumor or a sinus problem?",Diagnosis Explanation
"I've got stitch like pain and  bleeding/ uterus feels heavy. I've had mirena (levonorgestrel) for 8 weeks now. This pain has only been the last week,  is this normal?",Specific Health Conditions and Diseases
I was curious how far along i'd be if the ultrasound said 6.5 cm/1.3/27 Hz at the top of my picture. ?,Treatment Details
"I would like to know what cause cramps, slight fever, bloating, frequent peeing, headaches, fatigue, and nausea.",Specific Health Conditions and Diseases
Most effective. Muscle relaxants for chronic. L4-l5 pain?,Medication Information
My 16 year old daughter is having left abdominal pain no fever and no burning with urination and just got off her period 2 days ago?,Specific Health Conditions and Diseases
"My doctor may change my prescription (metoprolol)  as it is destroying my sex life. Can i ""get it back"" when i am prescribed a different beta blocker?",Medication Information
My doctor talked over my head. We are confused. What is amniotic infection?,Diagnosis Explanation
"My mother in law have a pain in her left arm, she never suffer from her heart before, and the fingers move by themself what could or be?",Specific Health Conditions and Diseases
"My Patella is tender to touch, and hurts and pops when the knee is bent. There isn't any noticeable swelling. But there is pressure around patella.",Specific Health Conditions and Diseases
My pelvis/lower abdomen pain 2 months after a c-section. Feels like cramps?,Specific Health Conditions and Diseases
Nausea everyday missed period headaches but not pregnant what could be wrong?,Specific Health Conditions and Diseases
Need help docs! My friend ate some raw chicken on accident so he could get worms or parasites?,Specific Health Conditions and Diseases
"Only one sexual partner and cervical dysplasia reoccured, what's wrong?",Specific Health Conditions and Diseases
"Pain in the right leg that goes and goes, sometimes on the side, sometimes in the groin. Burns behind the knee and gets worse with cold. What can be?",Specific Health Conditions and Diseases
Please explain why does my amalgam (filling) hurt?,Diagnosis Explanation
"Right side sharp pains, bottom of rib cage?",Specific Health Conditions and Diseases
"Severe jaw joint pain started 24 hours ago, right side. Pain when opening mouth and clenching. Should I go to the ER? Worse as day went on. TMJ?",Specific Health Conditions and Diseases
"Sharp, localised pain on top of head, about 10 degrees from the centre, in a slight indentation of my parietal bone. Recurrent for a few days. Cause?",Specific Health Conditions and Diseases
Should I take my inhalor before I go in to see the doctor for a check up?,Medication Information
Should I use the nicotine patch to quit smoking? Or should I try electronic cigarettes?,Treatment Details
Small bruises all over 3 year old female. Showing up with no apparent cause. Doctor Monday but worried As to why there are so many for no reason.,Specific Health Conditions and Diseases
Sure I am not pregnant right? . If I have polycystic ovary periods can get ireegular right?,Specific Health Conditions and Diseases
"Symmetrical legs & feet; numb, weak & tingly. Painful to walk @rest, both feet throb til they both go ""numb"". Is this due to my chronic back pain?",Specific Health Conditions and Diseases
"Symptoms of ectopic but negative test.? Like dizziness, lower right abdominal pain, shoulder pain. I'm think ectopic coz I only feel this all after sex",Specific Health Conditions and Diseases
"Testicle scan showed 4 cysts. But I have constant dull ache. The pipe above testicle is prominent, no infection seen. What could be causing the pain?",Specific Health Conditions and Diseases
The lower right side of my face hurts when I open my mouth. Anybody have any idea? Could it be tmj?,Specific Health Conditions and Diseases
"The muscles in my hips right above my butt ache a lot. Most times it pinches with pain. I wear high heels all the time, hurts to wear flats?",Specific Health Conditions and Diseases
Weird lightheaded feeling 24:7 for yrs Ent dr said not allergies had bloodwork done neuro examine at PC dr all good they say anxiety could it be?,Specific Health Conditions and Diseases
What antibiotic prescribed for infected cyst?,Medication Information
What are obsessive compulsive disorder (ocd) and tourette syndrome?,Specific Health Conditions and Diseases
What are the causes of lower back pain in women?,Specific Health Conditions and Diseases
What are the clinical symptoms of myocardial infarction?,Specific Health Conditions and Diseases
What are the treatments for a pinched nerve?,Treatment Details
What can a pain mean in right hand side next to bladder. It comes and goes and is quite severe?,Specific Health Conditions and Diseases
What can be done for really sharp pain in left ankle?,Treatment Details
What can cause hematuria with sharp pain in urq of abdomen nausea dizziness and water retention catscan ultrasound urine culture normal no fever?,Specific Health Conditions and Diseases
What can cause stabbing eye pain after sleep?,Specific Health Conditions and Diseases
What happens if my ovary is not visualized that mean I can't have kids?,Diagnosis Explanation
What is a good substitute for peanut butter?,Lifestyle and Health
"What is the cause and the solution of what seems to be a traveling pocket of gas up and down my back, chest, rib cage with sometimes a griping pain?",Specific Health Conditions and Diseases
What is the cause of pubic bone pain?,Specific Health Conditions and Diseases
What is the difference between Refractory Chronic Migraines and Transformed Migraines? With CM do I need a headache specialist for general nuero?,Diagnosis Explanation
What is the procedure involved with open heart surgery?,Treatment Details
What is the reason for fluid coming out right after intercourse?,Specific Health Conditions and Diseases
What makes a dentist different from an oral surgeon?,Treatment Details
What might cause a lot of pain in the fleshy part of my hand below the thumb?,Specific Health Conditions and Diseases
What muscles contribute to lower back pain?,Specific Health Conditions and Diseases
What quantity of lortab 10mg equal 15mg oxycodone?,Medication Information
What questions should I be asking when looking for a pain management doctor for my 85-year-old father who has severe back pain? (history of surgeries),Treatment Details
What to do about depression of seeing spirits and just being upset overall?,Specific Health Conditions and Diseases
When do i ovulate if my last period was last month on the 28th and i have a 31 day cycle ?,General Health Information
Where can I find a good natural gout treatment?,Treatment Details
Which brand of natural progesterone cream is most suitable for a girl with pcos?,Medication Information
"Why am I having acute post-abortion abdominal pain 3 months after surgical procedure? I can't talk, walk, lift, stand, or even wear underwear too much?",Specific Health Conditions and Diseases
Why do i feel pain on my left arm?,Specific Health Conditions and Diseases
"16, never had intercourse, no STDs known, vaginal irritation, sometimes pain, not much pain with urination, irritation through the entire day.",Specific Health Conditions and Diseases
"1 day missed period and vaginal area is dry, why?",Specific Health Conditions and Diseases
"1st mth off of birth cont. I got my 'real' period, lasted about 6 days, today's day 9 & i'm lightly spotting (just 1x a day) for the past 2 days-odd?",General Health Information
"2 days past ovulation  had sex 3 times but started following symptoms cramping slight nausea more bowel movements, fatigue, gas - can I be preg?",General Health Information
Am taking Duphaston day 11 to day 25 when do expect my period?,Medication Information
"B12:145 ng/L Range 130-800ng/L Result statesJust in Range Have a Few Sympt, Neuroligist says not low but GP started loading dose 6 injections? Ideas",Medication Information
Been prescribed steroid nasal spray for post nasal drip. Symptoms are very uncomfortable is there something different I can do? How important is it?,Treatment Details
"Been sick for over a week with a dry/wet cough, very runny nose, and no apparent fever. OTC cold medicine has not worked, and I'm currently on antibiotics to treat a UTI (Bactrim I believe). I'm pretty sure this is more than just a cold, seeing how nothin",Specific Health Conditions and Diseases
Can being animec cause your period to last longer?,Specific Health Conditions and Diseases
Can cyclical vomiting syndrome cause miscarriages?,Specific Health Conditions and Diseases
Can having a shaved penis alter sex performance?,Lifestyle and Health
Can i get high liver enzymes due to prostatitis or scar tissue in the urinary tract due to past STD trauma?,Specific Health Conditions and Diseases
Can i have sex while taking cyclogest (progesterone)?,Medication Information
Can obesity cause bilateral pitting edema? And how to get rid of it?,Specific Health Conditions and Diseases
Can orchitis problem effect my digestion or cause drooling ?,Specific Health Conditions and Diseases
Can pink eye be cured with g.E. Sulfameth/tmp ds can g. E. Sulfameth/ tmp ds cure pink eye?,Medication Information
Can seroquel (quetiapine) cause gerd?,Medication Information
Can there be a link between celiac's disease and polycystic ovarian syndrome (pcos)?,Specific Health Conditions and Diseases
Can u get pregnant from pre cum?,General Health Information
Can you jump/dive into a pool when you're 9weeks pregnant?,General Health Information
Can you recover from planter falsities and if what is the recovery time?,Specific Health Conditions and Diseases
Can you take l-lysine while trying to become pregnant?,Medication Information
Could anybody get neurapothy in forearms and hands?,Specific Health Conditions and Diseases
Describe the features of a bone avulsion.?,Specific Health Conditions and Diseases
Does DMSO help plantar fasciitis?,Treatment Details
Does drinking soda and juice harm the baby if you are pregnant?,Lifestyle and Health
Does eradication of h. Pylori cause weight gain?,Specific Health Conditions and Diseases
"Does food poisoning cause permanent damage? I heard in a study that it causes kidney damage, diabetes, and high blood pressure later on.",Specific Health Conditions and Diseases
Had protected sex nov 21 and got period on dec 13 could I be pregnant?,General Health Information
Had sex 2 days before ovulation and a day after ovulation can I get pregnant?,Preventive Medicine
Haven't got my period since July cause I'm irregular could I still get pregnant?,General Health Information
Hello. My 18 yr old special needs daughter just had bloiod work. The Lymphocytesis 3.8.Her Leukocyte Esterase is 500. What does that mean?,Diagnosis Explanation
"Help! Rash on right leg, will not go away, doctors can't help, what is it and what do I do now?",Specific Health Conditions and Diseases
How can I prevent glaucoma?,Preventive Medicine
How can I prevent orthostatic hypotension?,Preventive Medicine
How can you stop bloating during your period?,Lifestyle and Health
How does a person get hyperthermia?,Specific Health Conditions and Diseases
How does one break their arm playing volleyball?,Specific Health Conditions and Diseases
How do I tell the difference between an allergy and a sinus infection?,Diagnosis Explanation
How do occupational therapists help people with eye injuries to ambulate safely?,Treatment Details
How do we decide who takes mom?,Lifestyle and Health
How long does belly pain associated with hyperemesis gravidarum last?,Specific Health Conditions and Diseases
How long does it take to recover from uveitis in the eye?,Treatment Details
How soon after im off the Depo-Provera provera (medroxyprogesterone) shot can I get pregnant?,Medication Information
How to prevent catching flu from a visitor who never learn to put hand on mouth while coughing... Will hand gel help me?,Preventive Medicine
How to tell if nuvaring side effects or early signs of pregnancy?,Medication Information
How to treat razor scar from shaving?,Treatment Details
I am almost a month pregnant and I started spitting. It started out pink now it's like a reddish color is that normal?,Specific Health Conditions and Diseases
I am having troubles and confusing moments with my body and I am scared I may be pregnant by my research online and I really want some advice ?,Specific Health Conditions and Diseases
"I been on depo for about 2/3 years and off for 5 months. I want to get pregnant but haven't had a menstrual cycle, what can I do?",Treatment Details
I came on my period two time last month this month my boyfriend came inside me and I'm bleeding 4 days after we had sex?,Specific Health Conditions and Diseases
If a person has chronic hyperventilation syndrome and takes a pft and methacholine challenge test would the results be affected? Mine showed asthma.,Diagnosis Explanation
I got on the Birth Control shot on a Friday and had sex on Wednesday if he ejaculated can I still get pregnant?,Preventive Medicine
I had a miscarriage last night. I was 13 weeks. How soon after miscarriage can you try again. Can you get preg. Faster after mc like u can after birth?,Preventive Medicine
"I had a salpingectomy in both tubes 4 years ago, but I want to be pregnant again, can it be possible?, can I get pregnant naturally?,",Treatment Details
"I had blood drawn, 1hr later I lifted weights and I noticed a small bump fill with blood where I got poked at, is this normal? Hel asap Docs",Specific Health Conditions and Diseases
I had unprotected sex just over 2 weeks ago. Had light cramps and sore breasts with darkening areola which has never happened. Got light period. Preg?,Specific Health Conditions and Diseases
I have a lot of tiny red bumps in between my eyebrows. I thought it was pimples so I used benzoyl peroxide & that didn't work. Is it eczema?,Specific Health Conditions and Diseases
I have been clean off alcohol for 1 year and 8 months and recently drink 0.0 6 pack a day. Is this bad for my liver and health. Drink it to avoid beer?,Lifestyle and Health
"I have developed these random red patches on my torso, neck, and back that flare up and disappear every once in a while. They do not itch. Why?",Specific Health Conditions and Diseases
I have had 11 sets of ear tubes since age 6. Is there another solution rather than getting more? The set I've had in for 3 months just came out.,Treatment Details
"I have had a couple of pregnancy symptoms, but the home tests i've taken are all negative and I started what I think is my period today.....I need some help figuring out what could be wrong. Any thoughts?",Specific Health Conditions and Diseases
I have the birth control mirena (levonorgestrel) and I have irregular periods but i also have brown discharge so what does that mean?,Specific Health Conditions and Diseases
I have this rash for along time on my breast comes and goes I made a appointment but it's kind of fading can they still test it and diagnose me?,Diagnosis Explanation
"I have three positive first response pregnancy tests with morning sickness two weeks ago but not since then, are the positive tests true positives?",Diagnosis Explanation
I m 28 yrs having irregular periods . My BP  was 144/101 is it normal ? What to do?,Specific Health Conditions and Diseases
"I'm almost 35 weeks pregnant. And I had a ultrasound done at my high risk Dr appt today. The baby's growth rate is at the 22 percentile, weight is 4 lbs and 14 oz. If the % goes below 20%, will the baby still be healthy at delivery?",Diagnosis Explanation
"I'm an athlete, I play water polo, football, And do some long distance running. Will taking prednisolone 50mg per day HUGELY impact my lifestyle?",Medication Information
I'm in the process of losing 30lbs and trying to get pregnant. If I conceive can I stay on weight watchers while I'm pregnant?,Lifestyle and Health
I'm worried that I'm pregnant but I think I ovulated yesterday?,Specific Health Conditions and Diseases
I need someone that can help me. It's been 2 weeks now that I have finished my period but now I am still bleeding and I am very nauseous.,Specific Health Conditions and Diseases
I need some tips on how to reduce abdominal fluid retention?,Lifestyle and Health
I often do masturbation in a day. I did it 5 times more in a day then it led to swollen penis skin. What are the disadvantages and advantages of it?,Lifestyle and Health
Is having a cycle important? I haven't had a decent period in almost my whole life....What can be wrong with me?...  I'm 23 yrs old...,Specific Health Conditions and Diseases
Is it normal for a childs scab to turn really dark after swimming in a pool. Is it safe to go swimming again?,Specific Health Conditions and Diseases
Is it normal for an eye infection tostart out red and swollen and pus filled to looking like a pus filled swelling that now looks like a blood blister?,Specific Health Conditions and Diseases
Is it normal to have cramps before and after period?,General Health Information
Is it ok to induce your period while on the sugar pills?,Treatment Details
Is it possible to be suffering allergic reactions from my roommate if she has a dog? How to find out?,Specific Health Conditions and Diseases
Is it possible to bleed if you are prego? 3 neg hpt.,Specific Health Conditions and Diseases
Is it possible to ovulate one day after period stop?,General Health Information
Is it safe to take apple cider tablets when pregnant?,Medication Information
I started taking PPIs (8 weeks) and antibiotics (one week) for treating h.pylori and gastritis. Can I do strenght exercises like pushups and running?,Treatment Details
Is the gm diet a good one?,Treatment Details
Is there any way to stop my period for a little while without a prescription?,Medication Information
"It started with a headache the next day came dizziness when I move my eyes, soreness behind my eyes, 102 fever, slight cough. Help!",Specific Health Conditions and Diseases
It still posible i can get pregnant with a small ovary?,Specific Health Conditions and Diseases
I've been having uterus/something spasms for a while now. I know I'm not pregnant and it happens randomly. Should I be worried?,Specific Health Conditions and Diseases
"I've had a bump in my groin area for about a year, recently  a burning sensation. And in last two days it turned red and the bump Bigger and more pain?",Specific Health Conditions and Diseases
I've had a lump by my bellyboutton and it moves around its been a week now could I have a hernia? I've been constapated too? Or pregnancy had neg test,Specific Health Conditions and Diseases
"I've had problems with cosntant headaches for 5 years, now they are more like migraines, I've see neurologists, eye specialists and no one has helped me?",Specific Health Conditions and Diseases
Late menstrual period after bad carwreck?,Specific Health Conditions and Diseases
